name,S,posmak,brzina_rezanja,uzorak,komad,fill,split,opseg,maxd,avgd,50-70,70-90,90-110,110-130,130-150,150-170,170-190,190-210,210-230,230-250,250-270,270-290,290-310,310-330,330-350,350-370,370-390
D6d0S3-F0d03-Vc45-MJ001-K06,3,0.03,45.0,J001,6,45.874355756801215,17.600021874493102,20.844754531017198,4.5648123768075495,3.98960995375162,72413065.50711334,1069180354.077852,216360408.7397064,201281933.27778247,56018169.63334463,104773001.2279886,20927567.036883894,30596422.96227733,173897323.28653076,75849201.53822452,65364174.48131105,33982263.26893564,15042527.736632705,5496907.673431582,3731722.61014924,3628667.103044977,2723939.959900177
D6d0S3-F0d03-Vc45-MJ002-K06,3,0.03,45.0,J002,6,44.004041095591,15.7297072132829,24.6250287360013,4.72917696994709,3.93126083099505,82657682.96901087,1094265981.8328438,148576623.39494836,146000683.9316712,40028938.79156748,82463185.08679453,13884920.057935195,15997224.805984247,51391726.76810811,31846261.186074995,34453183.97706156,10747350.999490643,7028159.281305783,4913269.854640755,3534219.551927975,3386486.048634258,2702037.8368806527
D6d0S3-F0d03-Vc45-MJ003-K07,3,0.03,45.0,J003,7,41.433672275287,13.164015415520401,19.432341384847106,4.3290326336465,3.85050873896358,62920807.2392198,1064513822.4477977,31531983.03286889,62543199.9859139,6107974.215979063,68360384.7779652,3523599.87941068,6771889.616522085,14980371.182999898,2986427.6086757346,4853553.647037634,2091684.4459957064,2808484.4455830497,2593497.750996063,1891596.6810606068,2514449.0129857915,1419712.936103916
D6d0S3-F0d03-Vc45-MJ004-K07,3,0.03,45.0,J004,7,47.1865708334965,18.912236951188397,30.7849181270323,4.71284357110128,4.00050650047527,72992807.51255892,1123801472.4419918,120811737.70968623,117493820.8153947,22774491.68060648,84340240.24127115,10990572.595827715,14099503.108627,51398593.34449363,21242234.38450567,22247854.45168121,7879083.539812055,3585965.8410619614,3143073.022014426,2949910.772587016,1881802.469422844,1990991.397903516
D6d0S3-F0d03-Vc45-MJ005-K08,3,0.03,45.0,J005,8,51.95981153874251,23.685477656434397,26.4074719902025,4.7152418383868095,4.19330611281055,70047922.32113321,1172339379.7213619,144147010.13852888,141406421.45028955,38649263.53836132,85820296.73056522,17694850.49398963,19067129.67909182,51172134.34391248,32205901.79138329,40166219.07310657,10174677.413304057,4792376.788343008,2923811.7746216813,2207865.930300042,2159301.524279837,1614139.098496816
D6d0S3-F0d03-Vc45-MJ006-K08,3,0.03,45.0,J006,8,48.168443051973114,19.89410916966489,27.4346184948627,5.371464331089599,4.08888854757787,71316855.13940942,1182334872.9745445,52837780.68966704,70539716.20689331,10792860.32230574,74136318.26421046,5394673.589539457,8107292.453231105,18260006.47147928,4510964.619840723,7104519.447305099,3078551.0475149984,4455383.8723104885,3572550.4037908274,3971756.32014792,3576370.44916135,2035955.8804380537
D6d0S3-F0d03-Vc45-MJ007-K09,3,0.03,45.0,J007,9,41.128044461798,12.853710579489901,28.323168011556398,4.95886226493607,3.8202796289105803,82134838.05545366,1230314352.477383,194342715.39092785,160064068.58162627,44826001.40109012,89471068.07560213,18815239.72343516,21707920.60076772,70336845.66015391,31818056.73126708,27400526.45260549,10781542.50406368,3762012.212330008,2332921.11788537,1947159.3453165053,1944918.9469914841,1764813.0378800111
D6d0S3-F0d03-Vc45-MJ008-K09,3,0.03,45.0,J008,9,40.7266134603161,12.4522795780079,27.646070108219,4.6907211331470995,3.87505482095806,67695502.06773369,1172825237.2317412,63747050.96425376,81530151.38408022,15455427.473952807,72311678.80988935,6960738.607052679,8504292.418478582,23686338.30536213,6850246.553180425,7683918.47880866,2732681.982677686,2238169.720478109,2548404.7861403427,1675644.316948954,1585270.071210496,1654636.5262680368
D6d0S3-F0d03-Vc45-MJ009-K10,3,0.03,45.0,J009,10,46.828790448717896,18.5544565664098,25.9499427094649,4.799401514751709,4.1262376262612,69717636.45067793,1285145513.0349007,390563561.1645075,288986943.40810686,110030264.70646702,111905051.06308912,50552046.21743979,65601611.88083298,355546474.7870542,142051969.58595935,93738135.53116132,70200680.30067386,26512903.49896004,10246434.595821574,4014010.9155310164,7763359.077354237,4318880.918066349
D6d0S3-F0d03-Vc45-MJ010-K10,3,0.03,45.0,J010,10,46.446358021987294,18.1720241396792,25.1196445644512,4.49762787486715,4.01537807414703,83350589.61454336,1267847101.6726825,337712717.2397264,287288335.52732325,125979958.47070277,116124756.1648574,56698687.49379892,63171819.23514988,285760538.61737883,151326071.30024928,130820290.55651318,56179624.28263211,20740315.797829345,7271136.881648966,4249160.876074705,5028818.167216202,3906592.399373212
D6d0S3-F0d03-Vc60-MJ001-K06,3,0.03,60.0,J001,6,43.20444563974201,14.9301117574339,24.183409032645503,4.4873119715463,3.9130690633116,53269572.90616789,765477478.5177281,112606432.17622642,54257513.17131508,15045933.689394593,26641652.18084817,2858435.203927826,4059296.951508952,7276313.32665532,3796614.976032449,3367069.1667020987,1146832.7515483254,1372935.5200338329,1218565.5148266226,1326091.8333509257,1035522.1628834923,803359.782325663
