name,S,posmak,brzina_rezanja,uzorak,komad,fill,split,opseg,maxd,avgd,50-60,60-70,70-80,80-90,90-100,100-110,110-120,120-130,130-140,140-150,150-160,160-170,170-180,180-190,190-200,200-210,210-220,220-230,230-240,240-250,250-260,260-270,270-280,280-290,290-300,300-310,310-320,320-330,330-340,340-350,350-360,360-370,370-380,380-390,390-400
D6d0S4-F0d06-Vc60-MJ003-K12,4,0.06,60.0,J003,12,41.35627285755029,13.081938975242199,24.623632536430396,4.56052562052685,3.88871400958463,31429248.4018463,42077349.15209087,853624851.7093519,651418229.7084619,372846891.9106543,184931503.43793985,165570599.22630543,231608143.26666468,163272210.02386612,89968307.72038035,54633117.19985396,42559087.70873756,20176209.063837934,46216068.540396996,25797951.4396993,30630242.776137155,23316813.046103798,85648260.71267906,23700014.6594913,21909422.373759635,30802732.26846141,15124070.473658325,11838733.22484462,5415783.040771222,4391555.044084645,2589702.2906183423,1209239.2910426278,2008198.8798220973,993203.7851949885,1556698.6965905237,724839.9136315484,1119755.8881793276,651253.5865132331,862076.7918817832,247238.12452657352
D6d0S4-F0d06-Vc60-MJ004-K12,4,0.06,60.0,J004,12,47.51286784896672,19.2385339666586,29.498612554029197,5.265013472844791,4.111522098642009,2636959.530943496,56883084.07541453,665054241.9574193,347213613.46447915,67062845.75901922,2611886.6927943258,5372722.3440066585,26032143.35949918,1508537.7083719957,11135132.782990716,7258963.864734068,10743470.851729464,1038196.0530732814,1010566.7421502341,995133.8015423572,1779599.5851789885,562393.2543985854,5839807.986910658,820364.4043818605,1275857.4202708232,1598580.281568195,1012225.0035467149,514659.5324024741,1311600.6827125438,522233.3678637332,1153996.7892134702,597000.2899544549,1509449.2158550469,479681.9549323874,692768.7361330063,345565.1012332114,573036.3563557154,206444.28156391226,459446.8355325178,187909.73712387643
D6d0S4-F0d06-Vc60-MJ005-K13,4,0.06,60.0,J005,13,46.877443723943,18.6031098416348,27.6260304344102,5.1198286586613495,4.07322424262915,1846889.2496387719,56498136.65779117,667863448.5395273,347782843.06642365,63145297.93502679,3071804.052494865,4969531.431690222,26190222.00183206,1665938.0690938355,10063323.984220788,7809911.0832451265,10424516.57189942,1202879.1054028762,1132176.6887148982,1178532.1189228643,2031378.4885436508,809205.8023489396,5546832.91304515,1101544.7602886476,1521430.37663156,1754508.170634114,1191876.6652940009,421808.40611136786,1119718.1597113085,381846.4040607485,1680325.2687007908,399127.2108650789,2034779.4526093209,410019.0266569053,1494288.3073272554,323045.42645722,666522.4605432788,178800.59033596786,287379.6971198291,132003.2731765725
D6d0S4-F0d06-Vc60-MJ006-K13,4,0.06,60.0,J006,13,48.063061688896504,19.7887278065883,30.4148962023393,5.10466826472155,4.0964700496231,1277637.3151015702,53407532.67650155,630379329.9019204,333339920.64937514,63519999.85414285,2806846.5194797143,4752891.886315224,28835893.272295706,2096567.1956657385,11071703.935784476,8009818.080436952,11051570.060358236,1134699.0724334149,1191850.4921455246,1165394.4610749227,2358179.348889004,786243.5592741416,5649564.7078927625,1008057.675777058,1719902.5233712832,1930442.559230888,1395348.2048833459,530702.7032707965,1177141.7173721641,448462.8587933097,806896.8850785525,479364.9244743386,697651.0134160217,366989.41731513396,1461602.0607728432,384497.1845721769,1092225.3236167724,329162.9797003392,678376.105328484,237532.0214108719
D6d0S4-F0d06-Vc60-MJ007-K14,4,0.06,60.0,J007,14,42.3385748455426,14.0642409632344,25.454182080430602,4.34405024700265,3.8241158579944505,3664484.823273197,55831354.48294485,646284322.7636489,372569985.8281529,70044698.09320137,3530614.576332282,7919567.237120133,31691833.95094843,2273639.8951670565,10831303.26713032,6991737.015095172,13018622.559763595,1270330.6212018237,1475613.1438997213,1115045.6681320034,2250622.4256070745,612591.0739387396,5339576.2382610915,1226680.8512140631,1842965.132270345,2093037.674262957,1334619.1117094196,614555.170034969,786103.2909055477,447473.00114444655,1000867.454106364,515943.8759145477,1290781.4910222334,430352.9114568893,1042988.0807675859,344222.8454803385,914140.7658695688,314410.53240099514,565665.3940517982,179409.30307405716
D6d0S4-F0d06-Vc60-MJ008-K14,4,0.06,60.0,J008,14,42.4142647847317,14.139930902423599,25.668558826985198,4.99894358340422,3.8332731663942403,2869793.103673507,60340007.52848347,745330741.3285682,327774125.14160067,72346112.89221868,3060012.363008588,5448263.612052314,31747658.423774377,1800277.1136697663,11570604.900384745,8012797.568253914,11017479.378692498,1308529.5072427855,1223415.2758129998,1132104.4011403057,2290879.680227376,830133.2964493431,5710418.8449189775,1280712.6754252259,1658009.6920465624,1918276.061141491,1258908.9861301782,521446.6028870878,1184753.293394057,575330.1758569691,1140414.2358745849,573211.7834058686,1304046.0311540887,455564.56793162774,858378.6658108779,441067.4095083474,1127065.8667060677,473590.92127437727,608522.2621223014,153661.7545540518
D6d0S4-F0d06-Vc60-MJ009-K15,4,0.06,60.0,J009,15,48.2158976566434,19.9415637743353,28.071369752128202,4.94401048061951,4.19894381854607,1411890.5120004218,59350303.50727461,766517623.6853138,287926505.0899568,77287627.44118766,2846627.7577660475,5359682.84709699,34582952.65196221,2075208.7404828519,11837674.040312074,7876981.8397233775,10435165.990077537,1333031.1346835631,1403064.4426729756,1171915.4271659446,2485767.02596732,872048.5906759219,6131246.6721749585,1102978.9173274757,1727033.550341649,1778538.6532911402,1144505.0961180564,587178.0675505819,1290908.2153159392,551528.2987693094,2207917.8677125587,541550.0634963878,1634850.6086645224,468308.55886647064,1036525.3703197108,425831.10156474716,671737.380110513,263823.9263483381,976447.4979249169,277027.53701328504
D6d0S4-F0d06-Vc60-MJ010-K15,4,0.06,60.0,J010,15,47.1628457658194,18.8885118835113,27.4595424401751,4.940900622944692,4.0184271082181,4620229.517559567,58540758.19595145,770564159.0113822,414187670.41853696,95435686.21627156,11591777.978566024,8917805.122633062,36992296.93170938,9922588.779818185,14395190.704023825,8755836.924581839,12622887.1423639,2227548.06305292,2297675.021213668,2049906.2761296702,3468948.367061688,1282096.0706886142,6889496.773793518,2471678.5200656783,3393202.189103277,2980370.2141662464,2602895.6384879127,1060773.866818127,780570.0676840935,597567.9722976261,2037662.3319575188,904286.969313022,1283651.1769297568,595434.9798572197,767707.739475371,410175.40851776826,1045815.3818858906,434880.1788649147,632931.6002516815,248380.1974604291
D6d0S4-F0d09-Vc15-MJ001-K11,4,0.09,15.0,J001,11,46.7454744048754,18.4711405225673,27.0538539848777,5.13611423370594,4.08553612619762,437191.06540383975,43970536.502232976,63984110.04037761,26658536.325471044,225746605.22431484,753248.3555963822,3946798.182569,34175233.04194916,451220.7324224574,4343922.064010937,32806037.61121752,73722163.49518715,1525372.0556393291,204375.89312433195,1317273.887671737,3261636.14448673,222479.96514088046,4066354.2060464174,1179889.6984993296,1628324.470280699,993231.0777683018,467065.3516083107,813691.5750420487,558952.8654725217,506724.0250646301,897130.370653289,656951.6862743393,570519.5457791121,471990.34644059563,966347.3867783508,571055.2361465171,357940.0115230072,276076.5862019232,655955.3000946761,310062.87240536
D6d0S4-F0d09-Vc15-MJ002-K11,4,0.09,15.0,J002,11,45.6758119296844,17.4014780473763,26.1277860212038,5.021481765327719,4.08493504765608,349345.2935700492,27689356.38007729,46713077.31149389,29300578.77171044,145421744.6713378,605222.5912320681,3328606.1549073895,40538983.66725985,403018.91566981695,3758263.39898854,10110158.049820693,29659876.640678544,1920335.5683922628,200656.93204319148,2445986.409670645,4430367.3042258285,256443.3930396214,4754500.849655625,1223829.0978365077,1362277.4623670196,1466461.4264023989,583539.0643119086,1580385.282390579,640898.5326442283,507101.5521546379,632349.952377116,813617.1320989641,689273.9887345046,907694.5369003052,814111.7523916761,704909.8926862532,797403.5230320154,409757.83843033493,586831.799197247,225263.267467632
D6d0S4-F0d09-Vc15-MJ003-K12,4,0.09,15.0,J003,12,49.337207686116,21.062873803807896,27.054465260805998,4.701755235565759,4.17538427523566,323820.93264322914,32865488.2251334,29635117.64222539,16399119.585056948,111495760.32695402,564050.0448623082,2396976.1096214126,30923542.7249198,388500.6904633972,3269160.596010215,17369914.473454956,19311508.78371877,1997180.3750728786,259421.86138684995,1680832.9474780296,5838514.5305173425,222611.74658229586,6613937.563106459,920783.95564392,1556316.297932166,1186772.1989595692,460916.8458090028,1148551.6272362613,762529.6220056609,494418.2049278365,853006.936795008,586941.0545999759,810622.2565055309,588564.6138332796,928486.8863792856,470977.58399475756,722072.2428526276,372210.48807507975,455871.377908783,238476.63619187483
D6d0S4-F0d09-Vc15-MJ004-K12,4,0.09,15.0,J004,12,51.4867220415333,23.212388159225195,37.7349854966516,6.50796104661941,4.30477745342707,413568.2427482153,46001164.58361679,34881169.33748765,22916241.717397954,186855758.65578663,504773.8661044624,3880048.6733556795,19905627.028187353,331546.1339682807,5509470.634726583,27420656.45536508,33923008.44881601,2024452.7093840016,262583.127727992,1584608.253056556,5531711.171976186,261402.79230401985,7240338.9188746475,962053.1551325923,876544.2721674633,1113216.2265878548,479263.3191494233,1029709.0797565628,658879.3686321214,571340.8788742094,1148389.58943986,730442.274332838,833163.0784182814,837101.0472103887,771219.9443233288,716274.1838311837,490079.0272260725,785121.3277762082,340681.7323697172,385109.44996265136
D6d0S4-F0d09-Vc15-MJ005-K13,4,0.09,15.0,J005,13,48.5316558174264,20.2573219351182,33.7184454350774,5.38788027610847,4.14262003102717,374773.26532407815,47074973.31009686,37584973.10848997,18207774.87102392,173014028.68829235,439012.4156566013,3092857.707345616,16849523.184626047,289396.3441947046,5330231.743287553,21594448.60361353,28075496.61059473,1749894.0981543066,200559.48836929933,1223181.9362488836,3091005.9170107837,179055.77590816878,5841140.040917058,614745.1200609225,775289.8374773319,1053985.1475239068,427113.10807565844,570518.9114589023,516154.6947088377,421499.6898156057,805443.462966162,390135.05766079854,629150.3518960343,410986.44318546937,668134.1287372625,345276.7197015809,644574.742530954,232990.838035704,240843.79195274945,173890.6044699485
