,name,S,posmak,brzina_rezanja,uzorak,komad,fill,split,opseg,maxd,avgd
40,D6d0S1-F0d06-Vc15d0-MJ001-K01,1,0.06,15.0,J001,01,42.8036432501761,14.529309367867901,24.5077962491485,4.6642408593459805,3.99240938208475
41,D6d0S1-F0d06-Vc15d0-MJ002-K01,1,0.06,15.0,J002,01,39.9531068546443,11.6787729723361,23.738271676034103,4.5012094228517805,3.67966351849786
42,D6d0S1-F0d06-Vc15d0-MJ003-K02,1,0.06,15.0,J003,02,40.7247461815275,12.4504122992193,23.22902166204,4.34693020134719,3.74030679411937
43,D6d0S1-F0d06-Vc15d0-MJ004-K02,1,0.06,15.0,J004,02,44.1385780321432,15.8642441498351,24.873325430608503,4.91079626878108,3.92807770547296
44,D6d0S1-F0d06-Vc15d0-MJ005-K03,1,0.06,15.0,J005,03,42.002226844921,13.7278929626128,26.733501026001395,4.70989770637651,3.79935212733842
45,D6d0S1-F0d06-Vc15d0-MJ006-K03,1,0.06,15.0,J006,03,39.7895105566517,11.5151766743436,26.2063637738065,4.53259869841663,3.71293023879029
46,D6d0S1-F0d06-Vc15d0-MJ007-K04,1,0.06,15.0,J007,04,40.969299760683796,12.6949658783757,26.8049425131843,5.115894678988241,3.8080849137428703
47,D6d0S1-F0d06-Vc15d0-MJ008-K04,1,0.06,15.0,J008,04,42.389068154358505,14.114734272050299,26.452503338044,4.79390617954413,3.8132740164299603
48,D6d0S1-F0d06-Vc15d0-MJ009-K05,1,0.06,15.0,J009,05,44.4478209671,16.1734870847918,27.6665031726832,4.63419066345844,3.9102337301523
49,D6d0S1-F0d06-Vc15d0-MJ010-K05,1,0.06,15.0,J010,05,45.064636051504706,16.790302169196597,27.3012110517194,4.91139155913908,3.94661591739033
50,D6d0S1-F0d06-Vc30d0-MJ001-K01,1,0.06,30.0,J001,01,42.1050718391714,13.830737956863198,39.814092598832296,4.59495516357162,3.7839208760765
51,D6d0S1-F0d06-Vc30d0-MJ002-K01,1,0.06,30.0,J002,01,44.0050775208232,15.730743638515,30.085334319734002,5.40571039098325,4.05659158177522
52,D6d0S1-F0d06-Vc30d0-MJ003-K02,1,0.06,30.0,J003,02,40.9536778216593,12.679343939351199,25.418050497133102,4.43634033085588,3.81978927750557
53,D6d0S1-F0d06-Vc30d0-MJ004-K02,1,0.06,30.0,J004,02,43.4006338942512,15.1263000119431,30.984063059261604,5.11690032898896,3.84612759645692
54,D6d0S1-F0d06-Vc30d0-MJ005-K03,1,0.06,30.0,J005,03,42.8030429078295,14.547756036928599,27.322160142592303,4.87848211297954,3.92902548838327
55,D6d0S1-F0d06-Vc30d0-MJ006-K03,1,0.06,30.0,J006,03,41.253426052600204,12.979092170292098,26.565791903703605,4.666010959099349,3.81337336246503
56,D6d0S1-F0d06-Vc30d0-MJ007-K04,1,0.06,30.0,J007,04,45.705315293013896,17.4309814107058,28.8544403857258,5.17280929197268,4.08830910617132
57,D6d0S1-F0d06-Vc30d0-MJ008-K04,1,0.06,30.0,J008,04,40.1214556555595,11.847121773251299,25.941155736223998,4.45389899174207,3.7287686768591404
58,D6d0S1-F0d06-Vc30d0-MJ009-K05,1,0.06,30.0,J009,05,43.457499448406296,15.183165566098099,25.6442527018158,4.747420546614519,3.8865158136772595
59,D6d0S1-F0d06-Vc30d0-MJ010-K05,1,0.06,30.0,J010,05,46.2683882511722,17.994054368864,27.253604966830697,5.22559742187522,4.04876688727687
60,D6d0S1-F0d06-Vc45d0-MJ001-K01,1,0.06,45.0,J001,01,44.6285207139735,16.354186831665302,41.7790307899311,5.34254623946894,3.8872234551221503
61,D6d0S1-F0d06-Vc45d0-MJ002-K01,1,0.06,45.0,J002,01,42.202024205656,13.927690323348,36.7248058481616,4.95573919410198,3.79346041928342
62,D6d0S1-F0d06-Vc45d0-MJ003-K02,1,0.06,45.0,J003,02,42.3292726186479,14.0549387363398,25.125178798087102,4.58679823936146,3.8605457653049395
63,D6d0S1-F0d06-Vc45d0-MJ004-K02,1,0.06,45.0,J004,02,41.2854656993178,13.011131817009598,33.3755433633986,4.6012153796357,3.8799086632538904
64,D6d0S1-F0d06-Vc45d0-MJ005-K03,1,0.06,45.0,J005,03,39.4537092093238,11.206161959929199,26.8695919432047,4.702077184799769,3.80255726623954
65,D6d0S1-F0d06-Vc45d0-MJ006-K03,1,0.06,45.0,J006,03,38.1770012586316,9.90266737632344,25.009205882761,4.55735709972152,3.6547652292841
66,D6d0S1-F0d06-Vc45d0-MJ007-K04,1,0.06,45.0,J007,04,46.729693986642,18.4553601043339,27.2573863736124,4.88695235551003,3.99838619256716
67,D6d0S1-F0d06-Vc45d0-MJ008-K04,1,0.06,45.0,J008,04,44.4606679582776,16.1863340759695,28.9671059452473,5.15754745967628,4.01843515435353
68,D6d0S1-F0d06-Vc45d0-MJ009-K05,1,0.06,45.0,J009,05,42.2388861094496,13.966292123522699,24.983612100199398,4.6641249058058305,3.8379619556332796
69,D6d0S1-F0d06-Vc45d0-MJ010-K05,1,0.06,45.0,J010,05,44.4700038532849,16.1956699709767,25.786601524999103,4.87264227867331,3.99895330369448
70,D6d0S1-F0d06-Vc60d0-MJ001-K01,1,0.06,60.0,J001,01,42.561921288431705,14.2875874061235,34.2370037958283,4.814661226236059,3.8358882911358303
71,D6d0S1-F0d06-Vc60d0-MJ002-K01,1,0.06,60.0,J002,01,42.4309510101562,14.156617127848001,26.9235125807399,4.85205589338611,3.88207714939396
72,D6d0S1-F0d06-Vc60d0-MJ003-K02,1,0.06,60.0,J003,02,43.950281029703,15.6759471473949,24.4799392517743,4.65741898992333,3.93078924538978
73,D6d0S1-F0d06-Vc60d0-MJ004-K02,1,0.06,60.0,J004,02,44.065902353329804,15.7915684710217,31.498296562467605,4.90814657954288,3.9422346909573998
74,D6d0S1-F0d06-Vc60d0-MJ005-K03,1,0.06,60.0,J005,03,43.7136691019343,15.4393352196262,29.0438074907225,4.99393060103626,3.97390328599542
75,D6d0S1-F0d06-Vc60d0-MJ006-K03,1,0.06,60.0,J006,03,39.6330678340312,11.3587339517231,24.232584959619004,4.58866726948653,3.67275249781134
76,D6d0S1-F0d06-Vc60d0-MJ007-K04,1,0.06,60.0,J007,04,42.4171363527007,14.1428024703925,25.6266497973496,4.62765538656941,3.83316761149921
77,D6d0S1-F0d06-Vc60d0-MJ008-K04,1,0.06,60.0,J008,04,42.794758685489,14.5204248031809,27.5190188301158,4.81660756074398,3.8488794480265702
78,D6d0S1-F0d06-Vc60d0-MJ009-K05,1,0.06,60.0,J009,05,42.938445527179105,14.664111644870902,26.0944492659269,4.9897322954786,3.99035884591577
79,D6d0S1-F0d06-Vc60d0-MJ010-K05,1,0.06,60.0,J010,05,40.0758330594025,11.8014991770943,24.0249314937043,4.25365988527062,3.73708375718325
80,D6d0S1-F0d09-Vc15d0-MJ001-K01,1,0.09,15.0,J001,01,46.187471766136106,17.913137883828,44.5493018954401,5.23730904809429,4.09552997608437
81,D6d0S1-F0d09-Vc15d0-MJ002-K01,1,0.09,15.0,J002,01,44.3403398434663,16.0660059611582,37.9220117425862,5.12367604443311,3.94390644484873
82,D6d0S1-F0d09-Vc15d0-MJ003-K02,1,0.09,15.0,J003,02,45.237814299966004,16.963480417657898,26.360586663399502,5.036760922869719,4.07055975940806
83,D6d0S1-F0d09-Vc15d0-MJ004-K02,1,0.09,15.0,J004,02,43.055790505139,14.781456622830902,33.2960340063166,5.04830272741745,3.8465893730792797
84,D6d0S1-F0d09-Vc15d0-MJ005-K03,1,0.09,15.0,J005,03,42.9363657115517,14.6620318292436,30.9225781195518,4.81303952011496,3.89494142987993
85,D6d0S1-F0d09-Vc15d0-MJ006-K03,1,0.09,15.0,J006,03,41.3341153135493,13.0597814312412,27.435421631704898,4.72217988658675,3.85307518853175
86,D6d0S1-F0d09-Vc15d0-MJ007-K04,1,0.09,15.0,J007,04,42.67162050588829,14.3972866235801,26.469372735167397,4.4548782262547,3.8302858848434402
87,D6d0S1-F0d09-Vc15d0-MJ008-K04,1,0.09,15.0,J008,04,42.1477632198259,13.8734293375177,27.699837550650397,4.87141916202959,3.9021017390717296
88,D6d0S1-F0d09-Vc15d0-MJ009-K05,1,0.09,15.0,J009,05,43.268978573933204,14.994644691624998,27.4814184715982,4.92730152986967,3.93290202776231
89,D6d0S1-F0d09-Vc15d0-MJ010-K05,1,0.09,15.0,J010,05,43.3154751603631,15.041141278055001,26.102425578677,4.6083994352622,3.95061135413348
90,D6d0S1-F0d09-Vc30d0-MJ001-K01,1,0.09,30.0,J001,01,44.7688989636479,16.4945650813397,23.7884417081921,4.87937948315108,4.09155842926472
91,D6d0S1-F0d09-Vc30d0-MJ002-K01,1,0.09,30.0,J002,01,42.2932144236634,14.0188805413552,23.013514208216602,5.00849588129866,3.78261244149766
92,D6d0S1-F0d09-Vc30d0-MJ003-K02,1,0.09,30.0,J003,02,48.255469296902504,19.9811354145943,47.887484383967504,5.51166466109257,3.93004320731875
93,D6d0S1-F0d09-Vc30d0-MJ004-K02,1,0.09,30.0,J004,02,43.10107628272821,14.8267424004201,33.2720940780787,4.97201932956382,3.9228126460907595
94,D6d0S1-F0d09-Vc30d0-MJ005-K03,1,0.09,30.0,J005,03,42.3041393123692,14.0298054300611,29.1079611758156,4.649789246613009,3.89205107770006
95,D6d0S1-F0d09-Vc30d0-MJ006-K03,1,0.09,30.0,J006,03,42.7087552643541,14.434421382046,28.568587660229,5.3325583494688304,4.01054787385489
96,D6d0S1-F0d09-Vc30d0-MJ007-K04,1,0.09,30.0,J007,04,45.4930546077384,17.218720725430302,28.1009718688019,4.88590045908486,4.02208870632768
97,D6d0S1-F0d09-Vc30d0-MJ009-K05,1,0.09,30.0,J009,05,42.0852627970824,13.810928914774301,26.577311639576003,4.83158354803228,3.88616748882097
98,D6d0S1-F0d09-Vc30d0-MJ010-K05,1,0.09,30.0,J010,05,40.9676446287755,12.693310746467303,25.561856226721503,4.57074049573246,3.75262675595553
99,D6d0S1-F0d09-Vc45d0-MJ001-K01,1,0.09,45.0,J001,01,42.2140082807149,13.939674398406698,36.1911489651765,5.0006628160726905,3.86666709484182
100,D6d0S1-F0d09-Vc45d0-MJ002-K01,1,0.09,45.0,J002,01,42.76723932564,14.492905443331802,36.1789001771684,4.83954186389302,3.8688778371287995
101,D6d0S1-F0d09-Vc45d0-MJ003-K02,1,0.09,45.0,J003,02,44.923480637934105,16.649146755626,25.347730250925498,4.986887205419951,3.9785721244965897
102,D6d0S1-F0d09-Vc45d0-MJ004-K02,1,0.09,45.0,J004,02,45.4653052506276,17.1909713683194,34.2406090641646,5.19106913989419,3.97562886840859
103,D6d0S1-F0d09-Vc45d0-MJ005-K03,1,0.09,45.0,J005,03,43.565259313363704,15.2909254310556,27.969100842929997,4.82593437595318,3.98242006385491
104,D6d0S1-F0d09-Vc45d0-MJ006-K03,1,0.09,45.0,J006,03,39.1294201627838,10.856932666612899,26.44229006414,4.550398764837951,3.73087391432222
105,D6d0S1-F0d09-Vc45d0-MJ007-K04,1,0.09,45.0,J007,04,45.34706316185039,17.0727292795423,27.776656263147398,4.97377219349155,3.9767863744731895
106,D6d0S1-F0d09-Vc45d0-MJ008-K04,1,0.09,45.0,J008,04,46.2167014774654,17.9423675951573,27.047568946427603,4.773203602038589,3.99075359537149
107,D6d0S1-F0d09-Vc45d0-MJ009-K05,1,0.09,45.0,J009,05,45.4802336044939,17.2058997221858,34.9523949271628,4.992645982327019,4.07213075077965
108,D6d0S1-F0d09-Vc45d0-MJ010-K05,1,0.09,45.0,J010,05,44.979185430612105,16.704851548304,28.2887699419221,5.036172161365401,3.95074626357948
109,D6d0S1-F0d09-Vc60d0-MJ001-K01,1,0.09,60.0,J001,01,42.349255013541395,14.074921131233198,24.6461526250921,4.84936878680665,3.93908163524798
110,D6d0S1-F0d09-Vc60d0-MJ002-K01,1,0.09,60.0,J002,01,46.203183612588795,17.9288497302807,43.1211345082754,5.370598645652371,3.9951817576832998
111,D6d0S1-F0d09-Vc60d0-MJ003-K02,1,0.09,60.0,J003,02,46.4958066210766,18.221472738768398,38.6934303996389,5.08984951508129,3.93948513277944
112,D6d0S1-F0d09-Vc60d0-MJ004-K02,1,0.09,60.0,J004,02,42.1551994336611,13.880865551352999,31.805431224942303,4.73966278466908,3.8124602787267596
113,D6d0S1-F0d09-Vc60d0-MJ005-K03,1,0.09,60.0,J005,03,44.676787020088796,16.4024531377807,27.568247366505698,4.958519578686571,3.9433465476380496
114,D6d0S1-F0d09-Vc60d0-MJ006-K03,1,0.09,60.0,J006,03,41.0932304399498,12.819196369033598,28.909394951964696,4.83425942412346,3.8604240077909906
115,D6d0S1-F0d09-Vc60d0-MJ007-K04,1,0.09,60.0,J007,04,44.66337962394589,16.3890457416377,32.5218307825345,5.06026107164533,3.9965837217299502
116,D6d0S1-F0d09-Vc60d0-MJ008-K04,1,0.09,60.0,J008,04,44.21429315948111,15.939959277173,27.5723617573136,4.7720244534444,3.9700575055766
117,D6d0S1-F0d09-Vc60d0-MJ009-K05,1,0.09,60.0,J009,05,44.7085732408389,16.4342393585308,30.1824235493267,5.239272215208611,3.99276207198216
118,D6d0S1-F0d09-Vc60d0-MJ010-K05,1,0.09,60.0,J010,05,46.810034955193004,18.535701072884898,27.864909812304695,4.8426167493417305,4.07183699264249
119,D6d0S1-F0d12-Vc15d0-MJ001-K01,1,0.12,15.0,J001,01,44.408057919040395,16.133724036732303,26.644952492464,5.25635763927645,4.01076811113833
