name,S,posmak,brzina_rezanja,uzorak,komad,fill,split,opseg,maxd,avgd,50-55,55-60,60-65,65-70,70-75,75-80,80-85,85-90,90-95,95-100,100-105,105-110,110-115,115-120,120-125,125-130,130-135,135-140,140-145,145-150,150-155,155-160,160-165,165-170,170-175,175-180,180-185,185-190,190-195,195-200,200-205,205-210,210-215,215-220,220-225,225-230,230-235,235-240,240-245,245-250,250-255,255-260,260-265,265-270,270-275,275-280,280-285,285-290,290-295,295-300,300-305,305-310,310-315,315-320,320-325,325-330,330-335,335-340,340-345,345-350,350-355,355-360,360-365,365-370,370-375,375-380,380-385,385-390,390-395,395-400
D6d0S1-F0d06-Vc15-MJ005-K03,1,0.06,15.0,J005,3,42.002226844921,13.7278929626128,26.733501026001395,4.70989770637651,3.79935212733842,832784.5210405745,1400901.5409052954,1720718.6456162222,167530.3232552768,506895.5396168912,805367.6708924769,686779.9951225622,565729.3370704424,404976.6055806339,370857.2300123496,453646.8420040894,327870.3179392381,230228.2501478955,236928.40798124825,356683.85024713125,454493.77153095533,347947.8504040324,356899.4674875286,289227.6622654889,165468.93258849878,351863.25659177423,257321.90003005575,605930.8497977393,1244264.0861918016,947292.8629675141,541242.3198333619,339143.5904549447,625769.6755507184,602819.0622779635,4046674.0206273743,3919385.145599832,1438048.4791892234,719555.4873011273,251119.92830851558,930252.8772425614,958058.6407913704,897116.2776921741,378539.1366194834,593071.5851134264,846193.4355746927,149925.6086702521,315426.9313884238,334867.27462179336,410372.64011890866,233227.37747272372,371263.7007707479,358959.73770989006,363567.253450956,336653.22714965144,243334.6338411677,244078.98146475482,212475.7114488389,303045.9702492388,400721.4444308029,511847.6546178646,513891.134008351,278532.83962168085,349935.586710913,281416.94459774496,475206.6851407599,1388469.2627065568,878032.385978746,678210.8418632926,771146.4155143151,1582506.7807175254,1055817.1693180043,401711.0178032892,318525.9455596773,1016492.7413111415,2133024.14054846
D6d0S1-F0d06-Vc15-MJ006-K03,1,0.06,15.0,J006,3,39.7895105566517,11.5151766743436,26.2063637738065,4.53259869841663,3.71293023879029,453829.8154945501,490966.4155904407,1292695.4479422274,503346.5106353585,684301.8624146122,512486.3403405936,399346.67818872654,401195.36569418,417923.3017885326,193563.968085541,409875.05308215687,249447.9445081945,194957.75484074609,528328.5749204085,401256.1580863233,223349.80410157185,278661.1490592339,389292.40432534175,429283.490029476,360875.0642761526,646531.0451192402,603505.8730586396,203076.6296289925,504534.4628944278,878908.2197762013,361229.7390869077,324979.8954127491,716976.3024429873,258024.27569782664,2161670.4044054463,1703055.8054817019,1535418.1691221409,537757.8242712958,467661.7246594872,742277.9663752922,595322.0284876181,381999.9955419007,1066963.0945761837,402792.7193357921,342576.27468604874,501617.21458410454,437413.417070444,426472.9556955308,410199.0252716717,285743.257442788,252313.1995177409,212981.9661781549,521194.77112636523,243684.97865624411,361560.7500908239,191659.88839260122,322702.8501570751,660223.1936651146,200092.57981078315,389822.78681608173,615489.4372565169,627933.8958961666,480180.0515171573,380043.83839378564,558995.3233319953,308420.938297497,809122.714686365,229708.7885711459,795527.9969242291,1214628.6961059691,797925.3456826387,443918.84379189054,922508.3665214421,2141561.738375655,6215243.898016381
D6d0S1-F0d06-Vc15-MJ007-K04,1,0.06,15.0,J007,4,40.969299760683796,12.6949658783757,26.8049425131843,5.115894678988241,3.8080849137428703,657563.7858669261,411400.96308047423,531727.8502819623,661397.9203058814,345786.37990002177,909629.4721960695,892233.5430132222,521969.587307566,491345.99322468287,378360.3103297744,137189.77327865743,476977.9576640205,233590.57255631106,424328.1070526567,216926.17391947808,705755.0568307256,505781.91691450594,161742.90031364636,772439.3912313044,470107.01798043423,578820.4282780418,393691.2722369811,767492.9009572724,340681.48661543394,799638.6889438271,736887.5197603905,390533.1841294117,862772.2773544869,441629.1124188717,861387.1769241048,2761139.1148516573,521089.1845841368,554678.447664671,469120.9512747775,634315.6571992269,624147.1010222081,551746.2355906839,225654.4745425736,56467.400049837786,356195.7797223649,407339.5076481792,422816.53413537866,373904.3045190235,374247.8265715129,393138.7608014345,454154.8775207315,388991.37750366295,127422.54303769431,461662.5287915142,290142.6679510963,228152.5583645671,350417.9718691205,527807.3844462286,389881.31605093897,67112.91424193926,352407.80998442986,286565.54918529256,519050.9981509704,443004.05576017976,649195.0811978203,457455.7427134853,879032.2893943301,550478.8307514886,1207609.8109157337,1377020.084243728,403907.45516738936,275906.6552415621,562030.4039612715,891210.2889715625,7306905.131033378
D6d0S1-F0d06-Vc15-MJ008-K04,1,0.06,15.0,J008,4,42.389068154358505,14.114734272050299,26.452503338044,4.79390617954413,3.8132740164299603,623163.0589045878,580596.8492643004,628057.9272363958,753871.9471949594,341365.8223121392,315163.14876801445,198056.5500193461,457589.749832006,285483.82837068866,249708.2165300023,390206.2115018881,186276.06846632488,570017.1839223333,316370.99871371663,486658.53803640953,1071685.581297623,697523.7924252733,519993.50494382577,829712.3493915749,529093.0035750987,395491.6383204387,426066.2611937763,809185.6034306412,554697.5899008933,1488436.5336105353,1001347.242903603,420400.8330309002,324029.1471053561,849108.410630271,1436735.0866563583,4313288.9485335285,803041.5995188012,424845.24112225603,193118.84835833535,639356.2618142988,1061459.5872290411,1991539.6351056213,1020874.7558816959,517527.7870234571,606429.8077430396,304380.1172891557,518545.9451243329,611929.9268571308,362626.5349793693,393747.9599379215,200988.01632549387,439497.2877955073,507571.7230565079,379177.1846208659,525903.4132824399,522709.30823075713,352356.55194179213,337381.2463241891,371095.898337635,301166.84234071884,330739.12376599107,529310.7552096696,759225.8554197309,715239.5912885616,447116.40125586273,301305.9316268752,845581.1635331209,380643.3804769709,420394.47100224334,946044.3783162149,751757.7391513713,371741.6841220032,419940.11745099735,517707.2282179136,1217569.9037710943
D6d0S1-F0d06-Vc15-MJ009-K05,1,0.06,15.0,J009,5,44.4478209671,16.1734870847918,27.6665031726832,4.63419066345844,3.9102337301523,357415.9770170676,300110.0337312492,743671.7192806553,335426.1772387075,636304.1368754844,476724.3178312378,466170.3698482779,317347.42228634557,671955.460587437,446216.78789071774,369181.6896181143,195709.77115880328,540996.4219676796,164327.0482370793,548745.2760867475,233973.75928682557,502677.95745865896,585015.3725467799,601345.0478753275,626718.1147066606,362150.38398972,233464.37086885804,313547.3819574609,746061.8588480295,781319.2485793821,279587.5743637501,403523.8760000976,371698.2883785474,494488.4428174077,928912.2238187178,1267677.6936558234,1057773.123880917,675623.8907382464,289816.328191142,892933.9685010584,211224.1653575432,145633.80014866884,618282.3680896129,634837.6633365777,225972.5290055089,442929.5135859282,413497.9244145955,215989.15503554855,195456.30949062025,168266.59987689322,468215.12219286367,537101.0489064439,257164.74632935965,377452.493920328,483192.2482663611,237849.27448923426,379747.2802515125,324473.2439251089,437105.037977164,397370.59353376884,859854.5788857626,822391.3227406156,1398642.2926249136,194279.2720767948,334431.9631695213,491297.27202751435,788800.8603247979,602241.1402292874,217153.04048420148,1949982.2435866385,1364362.6506241355,1670977.638078123,1263033.1417483774,256474.59318556305,2344928.6982073067
D6d0S1-F0d06-Vc15-MJ010-K05,1,0.06,15.0,J010,5,45.064636051504706,16.790302169196597,27.3012110517194,4.91139155913908,3.94661591739033,600246.15750932,1413259.1471129863,905848.4194260136,473866.1949477562,801673.4059213777,576401.625327881,596040.570843367,472133.0377638486,220912.48510613968,461217.0273766284,336643.76444339147,203068.32699625441,659784.096390859,459415.8800755705,346793.1037644073,274812.08036147396,298650.2670013379,536309.6962079068,534290.3022467605,300544.2129352202,270054.34377070697,195938.02555784472,448079.2737021045,536115.1528458048,711372.7134894115,309744.0312105888,238916.9575766125,390544.88660588727,444312.6330096357,4662122.190314476,3111944.6036689337,1396983.1732567388,303303.7785895323,599121.8294797278,512300.654057827,795260.7601751806,808107.4094893581,251039.7238652757,592337.1744748878,342886.3253752537,388564.39280265255,221608.13815071265,321375.26048987056,933839.5585284905,740822.1006488032,406924.63294409815,420306.1795328243,268030.7115182375,291889.6162661618,576159.7100640326,623021.5840055131,700687.642439394,638627.4103586022,512614.40973544936,349451.1937158632,412448.8808844614,1067419.1737210015,983132.9169709744,602435.3638416869,937902.9479271712,346725.0709085246,804920.0098790494,1130747.0700781436,643510.3020785424,1455971.246746556,631179.9209119538,1602112.940605334,341689.43557043694,1405656.7051091036,3588999.3263659705
D6d0S1-F0d06-Vc30-MJ001-K01,1,0.06,30.0,J001,1,42.1050718391714,13.830737956863198,39.814092598832296,4.59495516357162,3.7839208760765,1101915.6063243079,1263211.8012856126,1093550.3536655451,617891.3801887122,479290.00589275575,459664.1314482109,511986.118589143,617582.5255571256,380795.0304894709,946483.4683583751,641278.510166638,482923.6124454127,676543.8563384772,731107.6492725954,329471.6902292416,320535.4694236477,275807.2048638634,407191.2896432007,366642.62085614726,312568.835807195,173665.80626068776,219460.05670762525,591333.0544011014,947986.0454412878,636664.9824596498,501958.2892155979,306560.7106502738,362120.9875530378,130494.0961131833,590287.1179734097,2315407.7550760214,933481.837653854,484961.7709748933,386184.34308149264,351904.4995253788,248409.60374693671,1070863.1898903146,793609.5731301545,300414.25968184345,349490.596542515,366303.5369407392,529851.7932062446,293409.06889528345,749544.7051725086,398953.590944566,510106.6272714146,255261.27922930487,475257.3217549746,228863.1912607291,532766.6376669725,225569.94957606672,329510.2721217489,1068199.9918003979,1083737.0780463978,1177094.754213094,1796484.4865495274,1328444.7337366778,1220427.7858979222,1860530.1734523168,1109747.2427075582,1180521.544559262,673782.6894295743,1646562.4971945537,1904603.18424211,807655.1300259859,1505725.0472415937,2305939.3524441742,4148980.7809255794,5520005.777515008,9421948.25486374
D6d0S1-F0d06-Vc30-MJ002-K01,1,0.06,30.0,J002,1,44.0050775208232,15.730743638515,30.085334319734002,5.40571039098325,4.05659158177522,1093365.2326651607,1081621.5453077443,1619128.894879803,817215.1799908669,736602.2531442598,760678.013871627,643710.058727819,223522.9710752318,440899.0234536306,920636.2770345594,552320.6413684522,974082.294704048,318079.9328034004,616959.2701476628,432266.4575927928,309610.1250027973,529388.576599187,361643.412913033,631786.403922478,624394.2719141543,624237.5985657573,282897.09608135995,940698.1962025572,343097.01012964663,538379.5500861814,572904.5305178842,369920.5376890695,509870.03261120344,478371.73608033283,2803692.7201234577,1363837.8392005258,427759.3599487196,308361.0489644709,707620.3967037321,1137008.416456508,587410.515958501,790947.3896913595,645255.7518602031,435903.9861502905,332112.44542262127,568854.9056786977,746270.5513796995,698090.074402883,1062978.411706943,644104.6810370857,925130.771166885,1055720.7012607085,1019376.3991239313,734868.063640247,581932.3873450941,874503.1849522111,523905.5359174101,1837725.7485302137,731684.4073395319,1494605.903313832,918614.4369499277,1879264.2145794025,1775663.982532116,1908696.4995463968,2855691.4329819037,2162588.786603019,2305220.8886479717,1472370.6884916257,2125017.0128098275,4356037.615901643,4092498.816170449,3843297.704465714,4937621.97211645,4850004.030872097,7148914.184048081
D6d0S1-F0d06-Vc30-MJ003-K02,1,0.06,30.0,J003,2,40.9536778216593,12.679343939351199,25.41805049713311,4.43634033085588,3.81978927750557,819471.0761823369,1614628.4712695738,1344617.639552507,433667.22694634006,339009.204882874,839357.4109484906,535136.8999571168,520026.6992110085,865523.9420527283,762031.3015162257,381887.9601951799,445581.00421222585,186519.88662483913,257451.9069649025,275925.4749580625,394886.723916132,886313.5645616474,249909.91454941465,381927.7644662275,506142.7972917376,756515.4010724792,477034.7025656047,523372.8551926207,879701.2537443027,567352.2907180133,613555.8399688182,552427.4895340864,583087.5390409507,905018.5978432834,1634659.452709721,1444044.3536396972,631040.5343600332,295087.83420981694,598980.8674551485,325357.5150958514,399545.0366876192,451734.9442728604,309120.37872247724,400487.3737544665,429655.46131626755,291161.56911981513,512188.51590542326,265511.461915021,583837.1153301442,571042.3066335557,292562.19465204404,297480.20388683944,220043.5550114814,1295568.0650748366,1081977.0668674544,1098565.499315051,575633.2333156586,961727.8438172236,382751.10555878375,1947600.9163153712,787823.3602906136,436904.08146422304,1002056.0904879712,1076746.562319149,1558662.7557491974,618840.9627632071,2943089.503596432,1041719.4557438687,1031448.707235341,905980.4802571852,967412.1962782531,407420.73710145353,131000.07280670461,1146055.9518500618,3852202.5549295433
D6d0S1-F0d06-Vc30-MJ004-K02,1,0.06,30.0,J004,2,43.4006338942512,15.1263000119431,30.984063059261604,5.11690032898896,3.84612759645692,303572.67038863373,882909.3683327674,2077026.2472088987,503753.87537638575,444834.0766620889,834833.3176377063,1219234.7998423846,262528.3819230735,590486.8141952336,545462.7391305559,273812.0510275488,539659.4991983569,280852.7959753555,123095.6911676555,207320.78164222595,380958.0226012109,163814.75298223447,548433.3466769981,452749.4140563162,605059.5379918129,400057.3355657375,141029.95861113188,523062.1955690645,845979.0104776324,639878.360042092,779406.1815223333,310297.07212350785,420889.2444693992,391850.7075596614,2005922.8667815325,575941.2040694844,561019.4883940888,184129.64420629077,408650.53950088756,689281.6120078978,644906.9346688463,238730.3335126424,550291.6609251414,322946.2991310445,476093.29807724437,521061.2911151478,585444.7981838294,583483.7498593057,542217.2490702905,427620.1751107308,488326.9387613961,479643.5138796792,529207.8208181456,286111.6581140993,350751.580173599,283096.8432388898,435741.2348318739,464298.4481072971,372630.61262729386,950447.4039973893,857908.5093536527,624220.4157025133,625604.7659690697,217159.9384092847,606521.236314474,381612.0783452945,2648287.959590385,430254.7759536587,982288.6789699559,1037582.0239089398,995165.0298968769,1774257.2638396597,1167884.4729990277,1634742.4302579227,1629900.0249211516
