name,S,posmak,brzina_rezanja,uzorak,komad,fill,split,opseg,maxd,avgd,50-80,80-110,110-140,140-170,170-200,200-230,230-260,260-290,290-320,320-350,350-380,380-400
D6d0S1-F0d03-Vc60-MJ007-K04,1,0.03,60.0,J007,4,42.6396660669338,14.3653321846257,25.7070936260549,4.55711699744285,3.7911016814895295,27657503.833181396,19731386.872987814,23464431.14099528,14709314.912730208,18798746.681054004,27017498.752470545,22929042.15415541,75949260.64803599,47874775.05292082,124223866.0995286,236659726.3044977,103949403.96238744
D6d0S1-F0d03-Vc60-MJ008-K04,1,0.03,60.0,J008,4,48.1632067027245,19.8888728204164,26.5925155043155,4.95093464365176,4.00159344853167,39579696.20681128,37799762.99702896,31430915.646740224,28785786.5122434,32622829.76027349,25708815.80268773,34414037.0035993,79571704.60284786,79667632.66515158,120606663.30384795,424240208.4239953,300992947.83877534
D6d0S1-F0d03-Vc60-MJ009-K05,1,0.03,60.0,J009,5,43.09937466826921,14.825040785961098,24.847609058763197,4.41795329438129,3.8958695295094095,26090835.35645077,16589051.292704744,19831055.624112785,17604228.755539,15171569.908964232,18531281.12077266,34588540.54738481,91673306.43122429,106389945.69701016,120516280.24222592,262598796.8141872,272729349.50196403
D6d0S1-F0d03-Vc60-MJ010-K05,1,0.03,60.0,J010,5,46.003649040179006,17.72931515787089,28.4063779950811,5.190916534342518,4.037812929414169,29538511.40540979,24232033.94670466,19502334.277753197,19160853.84902796,21078769.25588827,29988196.48131576,32952344.13880844,64684854.83889227,96137134.27414304,183695015.58731732,272878005.91644573,179079276.6096586
D6d0S1-F0d06-Vc15-MJ001-K01,1,0.06,15.0,J001,1,42.8036432501761,14.529309367867901,24.5077962491485,4.6642408593459805,3.99240938208475,16181713.034126978,15663171.865721654,14734957.420497674,20844000.43435109,23667637.024888705,32932707.317868184,12433520.277317338,16941706.00154251,10842210.670871643,9080273.611947138,24807309.40916376,15621465.831158893
D6d0S1-F0d06-Vc15-MJ002-K01,1,0.06,15.0,J002,1,39.9531068546443,11.6787729723361,23.738271676034106,4.5012094228517805,3.67966351849786,15237040.495570613,11324875.778253704,11992096.61392066,12934624.962161645,29721897.30850381,20885878.317633163,16818279.5906399,11661572.252690598,11344061.583668854,10298667.89997542,19032604.99485556,19951341.86727409
D6d0S1-F0d06-Vc15-MJ003-K02,1,0.06,15.0,J003,2,40.7247461815275,12.4504122992193,23.22902166204,4.34693020134719,3.74030679411937,28557523.49703632,19252299.096024167,21013254.61002455,16077007.14012772,41734810.525831774,57311951.25706998,18821512.259254813,12732866.96548452,10278617.435091617,16604378.724939987,23616876.65703633,25965206.09967149
D6d0S1-F0d06-Vc15-MJ004-K02,1,0.06,15.0,J004,2,44.1385780321432,15.8642441498351,24.87332543060851,4.91079626878108,3.92807770547296,17258796.69976754,12002350.780809272,10861620.468332104,14516153.12330806,18311829.30041607,36928996.44669538,8824208.501836803,16291203.751763772,12633449.439340547,10250650.968441313,21192920.187752064,22961263.30211834
D6d0S1-F0d06-Vc15-MJ005-K03,1,0.06,15.0,J005,3,42.002226844921,13.7278929626128,26.733501026001395,4.70989770637651,3.79935212733842,28543455.06987853,14739598.533844987,10050435.00293521,15601229.55514905,40602208.25684571,44467921.80659917,15014815.176830335,9009061.731817868,9347649.478568833,12064587.83560078,34833418.79019201,14959102.120669132
D6d0S1-F0d06-Vc15-MJ006-K03,1,0.06,15.0,J006,3,39.7895105566517,11.5151766743436,26.2063637738065,4.53259869841663,3.71293023879029,19573977.798653908,11663775.013088236,9913975.29686941,14705429.54383495,27275802.13263154,27031734.69731416,15123247.499606773,11496308.470718995,10702438.570315413,16697586.072523745,22300994.531526294,37805210.62063641
D6d0S1-F0d06-Vc15-MJ007-K04,1,0.06,15.0,J007,4,40.969299760683796,12.6949658783757,26.8049425131843,5.115894678988241,3.8080849137428703,18046961.85843774,15691788.727001838,12584475.688689195,16519261.638068454,22325082.61615996,30586897.36226792,10831586.979144353,9631024.380518224,11651190.553163938,11590315.797605654,25267677.43061299,34740612.79154174
D6d0S1-F0d06-Vc15-MJ008-K04,1,0.06,15.0,J008,4,42.389068154358505,14.114734272050299,26.452503338044,4.79390617954413,3.8132740164299603,17850461.40537616,9257235.215133492,20599833.587261066,18894498.811258547,31798103.16596956,42854961.84174564,27092529.98959355,13502557.077447886,13409736.3332638,13768608.795822745,19299249.595426105,9631930.387694608
D6d0S1-F0d06-Vc15-MJ009-K05,1,0.06,15.0,J009,5,44.4478209671,16.1734870847918,27.6665031726832,4.63419066345844,3.9102337301523,14586586.287736155,13060297.539899945,13633582.884281075,16010202.589106578,16848876.32226864,24327267.56689345,13021811.8660951,9711190.988434,12762009.165404862,22547609.28371185,29366512.10546527,21677254.470918927
D6d0S1-F0d06-Vc15-MJ010-K05,1,0.06,15.0,J010,5,45.064636051504706,16.790302169196597,27.3012110517194,4.91139155913908,3.94661591739033,25696777.18416553,12187884.372393327,13753438.534656633,12365760.452181833,37989620.41551854,35828158.65615077,14500363.68175298,15710930.04146349,17008330.166628543,19642896.28585431,24222255.6446835,26255362.30959097
D6d0S1-F0d06-Vc30-MJ001-K01,1,0.06,30.0,J001,1,42.1050718391714,13.830737956863198,39.814092598832296,4.59495516357162,3.7839208760765,26343442.45211973,19292916.99317896,14101232.862688255,13433780.247185942,13917529.798601884,24296702.98945117,17661663.299235865,14711511.06955421,18050934.756889977,44552404.49615001,38949001.46233565,72435124.89018036
D6d0S1-F0d06-Vc30-MJ002-K01,1,0.06,30.0,J002,1,44.0050775208232,15.730743638515,30.085334319734002,5.40571039098325,4.05659158177522,30770848.47045581,20747273.446016494,12514206.577904435,17995707.26485451,29805887.88960113,25792531.62505849,18804711.68025093,26997711.595030714,28875450.296883736,57093285.5330004,87187354.64084034,64628465.95967373
D6d0S1-F0d06-Vc30-MJ003-K02,1,0.06,30.0,J003,2,40.9536778216593,12.679343939351199,25.41805049713311,4.43634033085588,3.81978927750557,29128006.11329824,17645936.502274644,12423354.018148076,18088940.444827083,26260963.84802886,19103046.12023164,13746470.7745643,12166810.107735755,26536993.93070872,36101763.59570021,40476762.22600729,21239840.08242685
D6d0S1-F0d06-Vc30-MJ004-K02,1,0.06,30.0,J004,2,43.4006338942512,15.1263000119431,30.984063059261604,5.11690032898896,3.84612759645692,25851318.12684876,18842329.04369376,9479315.479782104,14688062.462162312,25748677.70871111,15185556.340784324,14034768.072110236,14012258.45217683,10619333.65137344,19926066.14928468,36051733.57313171,20200363.975241624
D6d0S1-F0d06-Vc30-MJ005-K03,1,0.06,30.0,J005,3,42.8030429078295,14.547756036928599,27.322160142592306,4.87848211297954,3.92902548838327,41175296.78910982,21198099.58472601,15120750.185501926,12098446.359451052,24649416.31184375,14622834.55956988,13374476.18899847,10295158.635847952,20770952.227798287,20807691.07186968,34524808.90536187,35980894.13575029
D6d0S1-F0d06-Vc30-MJ006-K03,1,0.06,30.0,J006,3,41.25342605260021,12.979092170292098,26.565791903703605,4.6660109590993475,3.81337336246503,25727958.62983771,18802004.60562495,16907275.61686532,18453943.39282704,21726076.964026272,20345590.03115281,19997028.473391835,19121297.94575245,32833114.45663945,40514998.860917,81096083.21309432,81753377.39141577
