name,S,posmak,brzina_rezanja,uzorak,komad,fill,split,opseg,maxd,avgd,50-90,90-130,130-170,170-210,210-250,250-290,290-330,330-370,370-400
D6d0S1-F0d06-Vc15-MJ006-K03,1,0.06,15.0,J006,3,39.7895105566517,11.5151766743436,26.2063637738065,4.53259869841663,3.71293023879029,32176450.56881609,17776606.152628902,24002475.99290865,57013545.05218563,29124835.70990341,20210974.1801334,22149958.563386526,30006887.443771943,68423024.82293044
D6d0S1-F0d06-Vc15-MJ007-K04,1,0.06,15.0,J007,4,40.969299760683796,12.6949658783757,26.8049425131843,5.115894678988241,3.8080849137428703,30415252.14852124,22494893.43892311,27162929.93104673,52908194.09751513,24355192.33283453,18536405.650949463,18585398.95789948,34169076.58503242,60595199.29748325
D6d0S1-F0d06-Vc15-MJ008-K04,1,0.06,15.0,J008,4,42.389068154358505,14.114734272050299,26.452503338044,4.79390617954413,3.8132740164299603,28442565.48978429,27172556.34972656,32811852.75025251,82886182.05431859,43349203.105089575,22281184.144992754,21640560.884186488,29454644.17557094,23002851.676294424
D6d0S1-F0d06-Vc15-MJ009-K05,1,0.06,15.0,J009,5,44.4478209671,16.1734870847918,27.6665031726832,4.63419066345844,3.9102337301523,25364884.25817011,21920210.916364368,28015185.78676878,39367744.037258185,27685467.09268387,18043471.5019372,25662271.03697085,35001861.49009529,51619895.34834373
D6d0S1-F0d06-Vc15-MJ010-K05,1,0.06,15.0,J010,5,45.064636051504706,16.790302169196597,27.3012110517194,4.91139155913908,3.94661591739033,40797027.02573472,20045388.03993671,22043795.723312307,79788003.12545271,29536258.88900616,25346507.19805878,28454048.31115904,37442877.42722863,50578577.89505935
D6d0S1-F0d06-Vc30-MJ001-K01,1,0.06,30.0,J001,1,42.1050718391714,13.830737956863198,39.814092598832296,4.59495516357162,3.7839208760765,43328438.00096957,31050417.98320988,22957640.226342384,39935678.51679771,28483303.08046999,26323150.38520974,45219608.47464392,72660415.09780926,121930402.93719581
D6d0S1-F0d06-Vc30-MJ002-K01,1,0.06,30.0,J002,1,44.0050775208232,15.730743638515,30.085334319734002,5.40571039098325,4.05659158177522,47838504.94658765,32018739.665288154,29751026.96312931,51823080.08086763,34466926.24677189,45282940.79814218,54431078.63301751,110138849.8596575,146586954.29715014
D6d0S1-F0d06-Vc30-MJ003-K02,1,0.06,30.0,J003,2,40.9536778216593,12.679343939351199,25.41805049713311,4.43634033085588,3.81978927750557,46274350.50066519,24212275.30089905,32221535.35648439,50247174.99830048,21981329.93336491,22326209.323144823,53500782.29318985,68391511.5168358,41897628.31492249
D6d0S1-F0d06-Vc30-MJ004-K02,1,0.06,30.0,J004,2,43.4006338942512,15.1263000119431,30.984063059261604,5.11690032898896,3.84612759645692,46093427.14293423,20436740.08881409,24655135.77233192,42360052.66063634,23835872.14663448,26840037.31843728,25015095.65031176,47289474.11183059,39246279.04227965
D6d0S1-F0d06-Vc30-MJ005-K03,1,0.06,30.0,J005,3,42.8030429078295,14.547756036928599,27.322160142592306,4.87848211297954,3.92902548838327,62757393.88662034,35392603.52359056,19481791.236650087,43098117.34370448,22196533.82763828,19522534.082816985,33093488.34720093,51656482.1610518,67996746.46991453
